Variant: 5
Itr|    z(0)|    y(0)|               Delta
  0.024|  7.478041809117e-07  |   0.00000|  0.06488|  0.12967|  0.19428|  0.25863|  0.32265|  0.38628|  0.44947|  0.51221|  0.57447|  0.63628|  0.69765|  0.75863|  0.81928|  0.87967|  0.93988|  1.00000|
  0.029|  1.118131348399e-06  |   0.00000|  0.06536|  0.13061|  0.19564|  0.26036|  0.32468|  0.38853|  0.45187|  0.51465|  0.57687|  0.63853|  0.69968|  0.76036|  0.82064|  0.88061|  0.94036|  1.00000|
  0.034|  1.560402967726e-06  |   0.00000|  0.06583|  0.13154|  0.19700|  0.26209|  0.32671|  0.39079|  0.45426|  0.51709|  0.57926|  0.64079|  0.70171|  0.76209|  0.82200|  0.88154|  0.94083|  1.00000|
  0.039|  2.073927842683e-06  |   0.00000|  0.06631|  0.13248|  0.19835|  0.26381|  0.32874|  0.39305|  0.45666|  0.51953|  0.58166|  0.64305|  0.70374|  0.76381|  0.82335|  0.88248|  0.94131|  1.00000|
  0.044|  2.658021417634e-06  |   0.00000|  0.06679|  0.13341|  0.19971|  0.26554|  0.33077|  0.39530|  0.45905|  0.52198|  0.58405|  0.64530|  0.70577|  0.76554|  0.82471|  0.88341|  0.94179|  1.00000|
  0.049|  3.312005713796e-06  |   0.00000|  0.06726|  0.13434|  0.20107|  0.26727|  0.33280|  0.39756|  0.46145|  0.52442|  0.58645|  0.64756|  0.70780|  0.76727|  0.82607|  0.88434|  0.94226|  1.00000|
  0.054|  4.035209265729e-06  |   0.00000|  0.06774|  0.13528|  0.20242|  0.26899|  0.33483|  0.39981|  0.46384|  0.52686|  0.58884|  0.64981|  0.70983|  0.76899|  0.82742|  0.88528|  0.94274|  1.00000|
  0.059|  4.826967059168e-06  |   0.00000|  0.06822|  0.13621|  0.20378|  0.27072|  0.33686|  0.40207|  0.46624|  0.52930|  0.59124|  0.65207|  0.71186|  0.77072|  0.82878|  0.88621|  0.94322|  1.00000|
  0.063|  5.686620468848e-06  |   0.00000|  0.06869|  0.13715|  0.20514|  0.27245|  0.33889|  0.40433|  0.46863|  0.53174|  0.59363|  0.65433|  0.71389|  0.77245|  0.83014|  0.88715|  0.94369|  1.00000|
  0.068|  6.613517197218e-06  |   0.00000|  0.06917|  0.13808|  0.20649|  0.27417|  0.34092|  0.40658|  0.47103|  0.53419|  0.59603|  0.65658|  0.71592|  0.77417|  0.83149|  0.88808|  0.94417|  1.00000|
  0.073|  7.607011213384e-06  |   0.00000|  0.06965|  0.13902|  0.20785|  0.27590|  0.34296|  0.40884|  0.47342|  0.53663|  0.59842|  0.65884|  0.71796|  0.77590|  0.83285|  0.88902|  0.94465|  1.00000|
  0.078|  8.666462693374e-06  |   0.00000|  0.07012|  0.13995|  0.20921|  0.27763|  0.34499|  0.41110|  0.47582|  0.53907|  0.60082|  0.66110|  0.71999|  0.77763|  0.83421|  0.88995|  0.94512|  1.00000|
  0.083|  9.791237960077e-06  |   0.00000|  0.07060|  0.14089|  0.21056|  0.27935|  0.34702|  0.41335|  0.47822|  0.54151|  0.60322|  0.66335|  0.72202|  0.77935|  0.83556|  0.89089|  0.94560|  1.00000|
  0.088|  1.098070942429e-05  |   0.00000|  0.07108|  0.14182|  0.21192|  0.28108|  0.34905|  0.41561|  0.48061|  0.54396|  0.60561|  0.66561|  0.72405|  0.78108|  0.83692|  0.89182|  0.94608|  1.00000|
  0.093|  1.223425552643e-05  |   0.00000|  0.07155|  0.14276|  0.21328|  0.28281|  0.35108|  0.41787|  0.48301|  0.54640|  0.60801|  0.66787|  0.72608|  0.78281|  0.83828|  0.89276|  0.94655|  1.00000|
  0.098|  1.355126067848e-05  |   0.00000|  0.07203|  0.14369|  0.21463|  0.28454|  0.35311|  0.42012|  0.48540|  0.54884|  0.61040|  0.67012|  0.72811|  0.78454|  0.83963|  0.89369|  0.94703|  1.00000|
  0.103|  1.493111520634e-05  |   0.00000|  0.07251|  0.14463|  0.21599|  0.28626|  0.35514|  0.42238|  0.48780|  0.55128|  0.61280|  0.67238|  0.73014|  0.78626|  0.84099|  0.89463|  0.94751|  1.00000|
  0.107|  1.637321529357e-05  |   0.00000|  0.07298|  0.14556|  0.21735|  0.28799|  0.35717|  0.42464|  0.49019|  0.55373|  0.61519|  0.67464|  0.73217|  0.78799|  0.84235|  0.89556|  0.94798|  1.00000|
  0.112|  1.787696292466e-05  |   0.00000|  0.07346|  0.14650|  0.21871|  0.28972|  0.35920|  0.42689|  0.49259|  0.55617|  0.61759|  0.67689|  0.73420|  0.78972|  0.84371|  0.89650|  0.94846|  1.00000|
  0.117|  1.944176582935e-05  |   0.00000|  0.07393|  0.14743|  0.22006|  0.29145|  0.36124|  0.42915|  0.49499|  0.55861|  0.61999|  0.67915|  0.73624|  0.79145|  0.84506|  0.89743|  0.94893|  1.00000|
  0.122|  2.106703742788e-05  |   0.00000|  0.07441|  0.14837|  0.22142|  0.29317|  0.36327|  0.43141|  0.49738|  0.56106|  0.62238|  0.68141|  0.73827|  0.79317|  0.84642|  0.89837|  0.94941|  1.00000|
  0.127|  2.275219677561e-05  |   0.00000|  0.07489|  0.14930|  0.22278|  0.29490|  0.36530|  0.43367|  0.49978|  0.56350|  0.62478|  0.68367|  0.74030|  0.79490|  0.84778|  0.89930|  0.94989|  1.00000|
  0.132|  2.449666850945e-05  |   0.00000|  0.07536|  0.15024|  0.22414|  0.29663|  0.36733|  0.43592|  0.50218|  0.56594|  0.62718|  0.68592|  0.74233|  0.79663|  0.84914|  0.90024|  0.95036|  1.00000|
  0.137|  2.629988279390e-05  |   0.00000|  0.07584|  0.15117|  0.22549|  0.29836|  0.36936|  0.43818|  0.50457|  0.56839|  0.62957|  0.68818|  0.74436|  0.79836|  0.85049|  0.90117|  0.95084|  1.00000|
  0.142|  2.816127526817e-05  |   0.00000|  0.07632|  0.15211|  0.22685|  0.30008|  0.37139|  0.44044|  0.50697|  0.57083|  0.63197|  0.69044|  0.74639|  0.80008|  0.85185|  0.90211|  0.95132|  1.00000|
  0.146|  3.008028699347e-05  |   0.00000|  0.07679|  0.15304|  0.22821|  0.30181|  0.37342|  0.44269|  0.50936|  0.57327|  0.63436|  0.69269|  0.74842|  0.80181|  0.85321|  0.90304|  0.95179|  1.00000|
